# YSFHosts.txt
#
# Generated: 2025-06-26 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

local;local-server;test;127.0.0.1;42000;000
00712;CR-CR-SJO;Costa Rica;crsjo.duckdns.org;42200;000;
00095;US-XLX097;NEDR;207.246.112.46;42000;000;
32027;ES-ADER;Associacio;aderdigital.ddns.net;42000;000;
20698;BE-FRANCOPHONE;YSFrancophone;vps.on7hh.be;42000;000;
08892;CA-VE2ATU---ARAT;Abitibi-Temisc;rta.ve2atu.org;42000;000;
00711;CH-HB9HDH-ROOM;hb9hdh room;49.12.197.205;42001;000;
41491;GB-GB-NWAG-2;;193.237.211.133;42200;000;
13946;GT-XLX651;XLX Reflector;104.143.94.48;42220;000;
02451;US-US-WWRARN;;66.175.213.53;42002;000;
50595;AU-OZ-DMR;OZ-DMR NETWORK;australia.oz-dmr.network;42595;000;
52691;CZ-YSF-Kolin;;199.247.22.143;42000;000;
00710;CH-HB9EAS-ROOM;HB9EAS Room;49.12.197.205;42000;000;
31983;US-DVMIS;DVMIS;YSFReflector31983.K8JTK.org;42001;000;
20697;BE-FRANCO-TEST;BEFR SANDBOX;vps.on7hh.be;42097;000;
08828;FR-YSF-MAYENNE;YSF MAYENNE;51.38.186.55;42000;000;
41424;IT-XLX-414;;185.170.138.30;42000;000;
13916;US-3916Nets;3916 Nets;ysf3916net.freemyip.com;42002;000;
02397;US-HAYABUSA4;US HAYABUSA 4;64.121.61.109;42000;000;
00705;CA-VA3PDG;Peterborough;reflector.va3pdg.com;42000;000;
31977;US-ECOAMERICA;YSF;104.143.94.251;42000;000;
20670;UA-Zaporozhe-YSF;DMR TG25508;ysf25508.uw0wu.com;42022;000;
08688;IT-718XLXD;xlx718_Ysf;515930.asnode.org;42200;000;
41403;IT-AOT;ONDATELEMATICA;xlx390.ddns.net;42000;000;
13908;XX-World-Wide-Ch;World Wide Cha;198.100.154.155;42000;000;
02359;GB-FreeDMR-2359;FDMR TG 2359;ysf.freedmr.uk;42359;000;
00621;US-URF621;URF621;urf.hrcc.link;42000;000;
52692;CZ-YSF-Borovany;CZ Borovany;92.62.226.78;42000;000;
50659;GB-G8TVH;all Welcome;ysfblue.ddns.net;42008;000;
31975;IT-Fox_Two;The_Revenge;101.58.183.238;42004;000;
20458;GB-CQ-London-UK;All welcome;2e0ula.gotdns.ch;42003;000;
08615;GB-CAVERSHAM;CAVERSHAM;88.97.18.118;42000;000;
40806;US-KENTUCKY-TEST;Test Reflector;ysf.servebeer.com;42000;000;
13897;IT-XLX965;XLX FreeDMR IT;xlx965.hblink.it;42000;000;
02352;GB-FreeDMR-2352;FDMR TG 2352;ysf.freedmr.uk;42352;000;
00620;JP-XLX620;STARFIELD XLX;xlx620.starfield.link;42000;000;
00091;GB-FreeDMR-91;FDMR TG 91;ysf.freedmr.uk;42091;000;
31974;IT-Radio_Friends;Il Salottino;101.58.183.238;42002;000;
20456;GB-CQ-GB7OK-UK;GB7OK London;139.59.172.133;42005;000;
08248;GB-GX4MWS-Club;Macclesfield;149.202.87.25;42000;000;
00618;RU-618;Moscow;r2azw.tplinkdns.com;42024;000;
00007;XX-EUROPELINK;Europelink;europelink.pa7lim.nl;42000;000;
40779;GB-UK-GROUP;dartford uk;2.123.249.36;41000;000;
13597;DE-DE-Berlin;YSF Reflector;88.218.227.37;42000;000;
02351;GB-FreeDMR-2351;FDMR TG 2351;ysf.freedmr.uk;42351;000;
51028;CL-Link-51028ADN;Chile YSF51028;44.31.61.66;41000;000;
52716;GB-DvMega;DvMega YSF Ref;212.237.34.32;42000;000;
00581;BR-XLX581;XLX581;xlx581.py2ko.com;42000;000;
31973;IT-FOXONE;FOX HOUSE;iw6nbx.ddns.net;42001;000;
20432;NL-Noord-Brabant;NB op YSF;fusion.pd2hsb.nl;42000;000;
08208;CN-NMGBT-439275D;439275-To-YSF;47.105.33.47;42000;000;
40600;IT-C4FM-TEAM;C4FM TEAM;94.71.255.153;42008;000;
13458;US-FACSchool-ARC;FAC Reflector;70.241.48.49;42000;000;
02350;GB-FreeDMR-2350;FDMR TG 2350;ysf.freedmr.uk;42350;000;
00555;GB-Sussex-Chat;YSF SX Chat;roomtest.ddns.net;42002;000;
31947;US-K0MGS-Link;MODCN;ysf.ddns.me;42005;000;
20319;UA-KievObl-YSF;DMR TG25510;ysf25510.uw0wu.com;42030;000;
08180;US-TEXAS-DFW;TEXAS-DFW;texas-dfw.duckdns.org;42002;000;
40557;US-Ohio-Link;Ohio Link YSF;209.190.4.10;42000;000;
13440;ES-URF051;URF051;2141.adn.systems;42001;000;
02044;NL-NL-Oost;C4FM NL-Room;51.83.46.75;42001;000;
00549;US-BR549;Hee Haw;ysf2.k5ain.com;42004;000;
51030;US-JARA-KS;JARA Club;174.138.59.145;42000;000;
31918;US-URF918;URF918;urfd918.mywire.org;42000;000;
52732;US-KA7FHA-CN73ui;Friend Chat;reflector.ka7fha.com;42000;000;
20305;GB-235-Alive;235 Alive;zorba1970.no-ip.biz;42005;000;
08035;US-N4KWT-BRAVO;BRAVO;45.16.90.219;42000;000;
40538;US-KC6GWF;Inland Empire;ysfkc6gwf.ddns.net;42003;000;
13390;ES-URF992;URF992;116.203.122.135;42000;000;
02035;US-AmComm;(YCS313);fcs313.xreflector.net;42000;000;
00530;AU-ZL-FDMR530;;45.124.54.132;42004;000;
00082;US-XLX082;XLX082;xlx082.hamradio.services;42000;000;
